20:37:59 [main] INFO  org.testng.internal.Utils -- [TestNG] Running:
  /Users/polonskiy/Library/Caches/JetBrains/IdeaIC2025.2/temp-testng-customsuite.xml

20:38:07 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Start testnewUserRegistrationPositiveTestMaleWithCsv
20:38:10 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Passed: newUserRegistrationPositiveTestMaleWithCsv
20:38:10 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Stop test
20:38:10 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- ********************
20:38:10 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Start testnewUserRegistrationPositiveTestMaleWithCsv
20:38:25 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Passed: newUserRegistrationPositiveTestMaleWithCsv
20:38:25 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Stop test
20:38:25 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- ********************
20:38:25 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Start testnewUserRegistrationPositiveTestMaleWithCsv
20:38:39 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Passed: newUserRegistrationPositiveTestMaleWithCsv
20:38:39 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Stop test
20:38:39 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- ********************
20:38:39 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Start testnewUserRegistrationPositiveTestMaleWithCsv
20:38:53 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Passed: newUserRegistrationPositiveTestMaleWithCsv
20:38:53 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Stop test
20:38:53 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- ********************
20:38:53 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Start testnewUserRegistrationPositiveTestMaleWithCsv
20:39:06 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Passed: newUserRegistrationPositiveTestMaleWithCsv
20:39:06 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- Stop test
20:39:06 [main] INFO  c.t.d.qa48.tests.tests.TestBase -- ********************
